ActivityDate,"Comments ","Common Species ","Crew ","Dominant Species ","End Time ","Is AEM Site ","Note Taker ","Rare Species ","Start Time ","Unit ","Visibility ","VisitId ",Water Temperature C,"Weather Conditions ","AEM Habitat Type ","AEM Length ",Ambient Temp C,Channel Average Depth m,Channel Length m,Channel Max Depth m,"Channel Unit Type ",Channel Width m,"ChannelUnitNumber ","CreatedOffChannelUsed ","FieldNotes ","FishCount ","FishID ","Lane ","Minimum Temp ","NaturalBoulderUsed ","NaturalOffChannelUsed ","NaturalWoodUsed ","NewSideChannelUsed ","No. Snorklers ","NoStructureUsed ","Other Species Pres ","PlacedBoulderUsed ","PlacedWoodUsed ","Size Class ","Species ","Unidentified Salmonid ",CreateDate,QAStatusId,QAStatus,ActivityQAComments,LocationId,ActivityQAStatusId,DatasetId,ActivityId,RowId,RowStatusId
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,105,,FA,84,8,NO,,3,20,1,,NO,NO,NO,NO,,NO,,YES,NO,1,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,20,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,110,,FA,88,8,NO,,4,21,1,,NO,NO,NO,NO,,NO,,YES,NO,2,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,21,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,115,,FA,92,9,NO,,10,22,1,,NO,NO,NO,NO,,NO,,NO,YES,3,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,22,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,120,,FA,96,9,NO,,10,23,1,,NO,NO,NO,NO,,NO,,NO,YES,1,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,23,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,125,,FA,100,9,NO,,5,24,1,,NO,NO,NO,NO,,NO,,NO,YES,2,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,24,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,130,,FA,104,9,NO,,2,25,1,,NO,NO,NO,NO,,NO,,NO,YES,3,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,25,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,135,,FA,108,10,NO,,10,26,1,,NO,NO,NO,NO,,YES,,NO,NO,1,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,26,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,140,,FA,112,10,NO,,10,27,1,,NO,NO,NO,NO,,YES,,NO,NO,2,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,27,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,145,,FA,116,11,NO,,20,28,1,,NO,NO,NO,NO,,NO,,NO,YES,3,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,28,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,150,,FA,120,11,NO,,20,29,1,,NO,NO,NO,NO,,NO,,NO,YES,1,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,29,0
9/16/2015 5:41:10 PM,,,,,,NO,,,,123,,,17,,Pool,,,,155,,FA,124,12,NO,,20,30,1,,NO,NO,NO,NO,,YES,,NO,NO,2,O. MYKISS,,9/16/2015 5:43:48 PM,1,Ready for QA,Initial Import,2288,6,1216,35907,30,0
